district_name,district_id,yearly_waste,avg_income_person,Avg_household_income,residents,households,avg_household_residents,yearly_waste_resident,waste_per_home
 centro,1,85006,17932.0,36072.0,134881.0,67296.0,2.0042944602948167,0.6302296098041977,1.2631657156443175
 arganzuela,2,42970,18473.0,43789.0,153830.0,65005.0,2.3664333512806706,0.27933433010466097,0.6610260749173139
 retiro,3,36880,22706.0,55775.0,119379.0,48673.0,2.4526739670864752,0.308932056726895,0.7577096131325376
 salamanca,4,53533,26255.0,61466.0,146148.0,62951.0,2.3216152245397215,0.3662930727755426,0.8503915743991359
 chamartin,5,48791,28190.0,70735.0,145865.0,58240.0,2.5045501373626373,0.33449422411133584,0.837757554945055
 tetuan,6,52020,15742.0,37557.0,157937.0,66428.0,2.3775666887457096,0.32937183813799176,0.7831035105678329
 chamberi,7,46282,24112.0,54327.0,139448.0,62013.0,2.2486897908503054,0.33189432620044745,0.7463273829680872
 fuencarral,8,78917,19551.0,52858.0,246021.0,90495.0,2.7186142880822146,0.3207734299104548,0.8720592297917013
 moncloa - aravaca,9,56453,24686.0,64066.0,119423.0,45650.0,2.6160569550930997,0.4727146362091054,1.2366484118291345
 latina,10,67966,12749.0,31872.0,238154.0,95217.0,2.5011710093785773,0.28538676654601647,0.7138011069451884
 carabanchel,11,75869,11327.0,29842.0,253040.0,95680.0,2.6446488294314383,0.2998300663926652,0.7929452341137124
 usera,12,39828,9860.0,27674.0,139501.0,49780.0,2.8023503415026116,0.28550332972523496,0.8000803535556449
 puente de vallecas,13,71059,10045.0,26652.000000000004,234770.0,88465.0,2.6538178940824055,0.30267495846999193,0.8032442208783135
 moratalaz,14,24221,14637.0,36755.0,94609.0,37547.0,2.5197485817775056,0.25601158452155715,0.6450848270168056
 ciudad lineal,15,62649,15815.0,39425.0,216270.0,86658.0,2.4956726441874957,0.2896795672076571,0.722945371460223
 hortaleza,16,58331,19759.0,52944.0,188267.0,70099.0,2.685730181600308,0.3098312502987778,0.8321231401303869
 villaverde,17,46112,10164.0,28407.0,148883.0,53333.0,2.7915736973356085,0.3097197127946105,0.8646054037837737
 villa de vallecas,18,30143,12545.0,32765.0,110436.0,42237.0,2.6146743376660275,0.272945416349741,0.7136633757132372
 vicalvaro,19,31398,12353.0,33870.0,72126.0,26232.0,2.7495425434583716,0.43532152067215707,1.1969350411710888
 san blas-canillejas,20,59967,14100.0,37112.0,158166.0,59896.0,2.6406771737678643,0.3791396381017412,1.001185388005877
 barajas,21,11017,18514.0,49615.0,48972.0,18269.0,2.6806064918714765,0.224965286286041,0.6030434068640868
