district_name,district_id,waste19_months_covid,waste20_months_covid,residents19,residents20,residents_waste_lockdown19,residents_waste_lockdown20,%Var
 centro,1,29207.640000000014,17392.96,134881,140473,0.21654376821049676,0.1238171036426929,-42.82121131173196
 arganzuela,2,14867.260000000002,12551.1,153830,155660,0.09664733797048691,0.08063150456122319,-16.571417015287548
 retiro,3,12629.180000000004,10785.220000000001,119379,120406,0.10579063319344277,0.08957377539325284,-15.329200053597091
 salamanca,4,18620.500000000004,13762.0,146148,147854,0.12740851739332734,0.09307830697850582,-26.944988543300852
 chamartin,5,16908.239999999994,13398.38,145865,147551,0.11591704658417025,0.09080507756640076,-21.66374123372361
 tetuan,6,17869.62,14826.44,157937,161313,0.11314397512932371,0.09191100531265305,-18.766328293133906
 chamberi,7,15905.28,12412.62,139448,140866,0.11405886065056509,0.08811650788692801,-22.744706211922473
 fuencarral,8,27028.219999999998,24684.84,246021,249973,0.1098614345929819,0.09875002500270029,-10.114021932671369
 moncloa - aravaca,9,19861.699999999997,14905.380000000001,119423,121683,0.16631385913936175,0.1224935282660684,-26.347973103416688
 latina,10,23181.6,22307.4,238154,242139,0.09733869680962738,0.09212642325275978,-5.354780501183032
 carabanchel,11,25837.260000000002,26798.2,253040,260196,0.10210741384761303,0.10299235960583561,0.8666811986280276
 usera,12,13503.600000000002,11629.240000000002,139501,142894,0.09679930609816419,0.08138368300978349,-15.925344622561354
 puente de vallecas,13,24027.819999999992,24578.74,234770,240867,0.10234621118541548,0.10204278709827416,-0.2964683143879321
 moratalaz,14,8197.179999999998,8589.76,94609,95614,0.08664270841040492,0.08983788984876692,3.687767265108133
 ciudad lineal,15,21422.440000000002,20510.72,216270,219867,0.09905414528136128,0.09328694165108907,-5.822273882522111
 hortaleza,16,19940.36,19113.120000000003,188267,193264,0.1059153223878853,0.09889643182382649,-6.626888731315084
 villaverde,17,15562.700000000006,14576.56,148883,154318,0.10452973139982406,0.09445793750567011,-9.635338921545255
 villa de vallecas,18,20162.560000000005,22189.04,110436,114512,0.18257234959614624,0.19377043453961157,6.133505412093188
 vicalvaro,19,10434.9,9124.28,72126,74048,0.14467598369520007,0.12322115384615386,-14.829572470194318
 san blas-canillejas,20,20194.82,15332.939999999999,158166,161222,0.12768117041589216,0.09510451427224571,-25.514064476019026
 barajas,21,7189.280000000002,5605.34,48972,50010,0.14680388793596344,0.11208438312337533,-23.650262469705787
