communities;ecoicop_groups;data_type;year;Total
Andalucía;Índice general;Media anual;2021;100000
Andalucía;Índice general;Media anual;2020;96956
Andalucía;Índice general;Media anual;2019;97157
Andalucía;Índice general;Media anual;2018;96681
Andalucía;Índice general;Media anual;2017;95182
Andalucía;Índice general;Media anual;2016;93366
Andalucía;Índice general;Media anual;2015;93538
Andalucía;Índice general;Media anual;2014;94053
Andalucía;Índice general;Media anual;2013;94314
Andalucía;Índice general;Media anual;2012;93128
Andalucía;Índice general;Media anual;2011;91159
Andalucía;Índice general;Media anual;2010;88314
Andalucía;Índice general;Media anual;2009;86760
Andalucía;Índice general;Media anual;2008;87164
Andalucía;Índice general;Media anual;2007;83804
Andalucía;Índice general;Media anual;2006;81548
Andalucía;Índice general;Media anual;2005;78767
Andalucía;Índice general;Media anual;2004;76261
Andalucía;Índice general;Media anual;2003;74052
Andalucía;Índice general;Media anual;2002;71902
Aragón;Índice general;Media anual;2021;100000
Aragón;Índice general;Media anual;2020;96683
Aragón;Índice general;Media anual;2019;97156
Aragón;Índice general;Media anual;2018;96494
Aragón;Índice general;Media anual;2017;94910
Aragón;Índice general;Media anual;2016;93223
Aragón;Índice general;Media anual;2015;93459
Aragón;Índice general;Media anual;2014;94138
Aragón;Índice general;Media anual;2013;94425
Aragón;Índice general;Media anual;2012;93204
Aragón;Índice general;Media anual;2011;91052
Aragón;Índice general;Media anual;2010;88257
Aragón;Índice general;Media anual;2009;86701
Aragón;Índice general;Media anual;2008;87049
Aragón;Índice general;Media anual;2007;83354
Aragón;Índice general;Media anual;2006;80991
Aragón;Índice general;Media anual;2005;78084
Aragón;Índice general;Media anual;2004;75465
Aragón;Índice general;Media anual;2003;73446
Aragón;Índice general;Media anual;2002;71350
Asturias;Índice general;Media anual;2021;100000
Asturias;Índice general;Media anual;2020;97059
Asturias;Índice general;Media anual;2019;97553
Asturias;Índice general;Media anual;2018;97096
Asturias;Índice general;Media anual;2017;95628
Asturias;Índice general;Media anual;2016;93955
Asturias;Índice general;Media anual;2015;94057
Asturias;Índice general;Media anual;2014;94666
Asturias;Índice general;Media anual;2013;94977
Asturias;Índice general;Media anual;2012;93693
Asturias;Índice general;Media anual;2011;91612
Asturias;Índice general;Media anual;2010;88469
Asturias;Índice general;Media anual;2009;86768
Asturias;Índice general;Media anual;2008;87156
Asturias;Índice general;Media anual;2007;83609
Asturias;Índice general;Media anual;2006;81478
Asturias;Índice general;Media anual;2005;78861
Asturias;Índice general;Media anual;2004;76495
Asturias;Índice general;Media anual;2003;74325
Asturias;Índice general;Media anual;2002;72182
Baleares;Índice general;Media anual;2021;100000
Baleares;Índice general;Media anual;2020;96789
Baleares;Índice general;Media anual;2019;97080
Baleares;Índice general;Media anual;2018;96614
Baleares;Índice general;Media anual;2017;95198
Baleares;Índice general;Media anual;2016;93214
Baleares;Índice general;Media anual;2015;93342
Baleares;Índice general;Media anual;2014;93438
Baleares;Índice general;Media anual;2013;93246
Baleares;Índice general;Media anual;2012;91818
Baleares;Índice general;Media anual;2011;89579
Baleares;Índice general;Media anual;2010;87091
Baleares;Índice general;Media anual;2009;85633
Baleares;Índice general;Media anual;2008;85780
Baleares;Índice general;Media anual;2007;82613
Baleares;Índice general;Media anual;2006;80470
Baleares;Índice general;Media anual;2005;77771
Baleares;Índice general;Media anual;2004;75441
Baleares;Índice general;Media anual;2003;73424
Baleares;Índice general;Media anual;2002;71304
Canarias;Índice general;Media anual;2021;100000
Canarias;Índice general;Media anual;2020;97828
Canarias;Índice general;Media anual;2019;97298
Canarias;Índice general;Media anual;2018;96979
Canarias;Índice general;Media anual;2017;95506
Canarias;Índice general;Media anual;2016;93820
Canarias;Índice general;Media anual;2015;94040
Canarias;Índice general;Media anual;2014;94796
Canarias;Índice general;Media anual;2013;95238
Canarias;Índice general;Media anual;2012;94543
Canarias;Índice general;Media anual;2011;92663
Canarias;Índice general;Media anual;2010;90314
Canarias;Índice general;Media anual;2009;89450
Canarias;Índice general;Media anual;2008;90363
Canarias;Índice general;Media anual;2007;86540
Canarias;Índice general;Media anual;2006;84569
Canarias;Índice general;Media anual;2005;82196
Canarias;Índice general;Media anual;2004;80196
Canarias;Índice general;Media anual;2003;78418
Canarias;Índice general;Media anual;2002;76695
Cantabria;Índice general;Media anual;2021;100000
Cantabria;Índice general;Media anual;2020;96847
Cantabria;Índice general;Media anual;2019;97183
Cantabria;Índice general;Media anual;2018;96520
Cantabria;Índice general;Media anual;2017;94893
Cantabria;Índice general;Media anual;2016;93051
Cantabria;Índice general;Media anual;2015;93379
Cantabria;Índice general;Media anual;2014;94192
Cantabria;Índice general;Media anual;2013;94424
Cantabria;Índice general;Media anual;2012;92463
Cantabria;Índice general;Media anual;2011;90124
Cantabria;Índice general;Media anual;2010;87156
Cantabria;Índice general;Media anual;2009;85545
Cantabria;Índice general;Media anual;2008;85831
