PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;COD-BARRIO;BARRIO;COD-DISTRITO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;COD-BARRIO;COD-DISTRITO;TELEFONO;FAX;EMAIL;TIPO
6408;Centro de Enseñanza Superior Cardenal Cisneros;;;;Metro: Lista (línea 4), Núñez de Balboa (líneas 5 y 9), Diego de León (líneas 4, 5 y 6).  Bus: 1, 74, 26, 61.  Bicimad: Estaciones 144 (calle Juan Bravo, 50), 186 (calle General Pardiñas, 56).  Aparcamiento: Marqués de Salamanca (25), plaza Marqués de Salamanca.;Titulaciones   Psicología. Derecho. Administración y Dirección de Empresas. Derecho - Administración y Dirección de Empresas.  Másteres y posgrados.;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ea1cf3216571c010VgnVCM1000000b205a0aRCRD;GENERAL DÍAZ PORLIER;CALLE;V;58;;;;;MADRID;MADRID;28006;5;LISTA;4;SALAMANCA;442606;4475777;4.043.064.439.409.120;-3.676.657.274.338.680;913 096 120  / 914 028 981;;secretaria@universidadcisneros.es;/contenido/entidadesYorganismos/Universidades/OtrosCentrosUniversitarios; ;
6368;Centro de Enseñanza Superior en Humanidades y Ciencias de la Educación Don Bosco;;;;Metro: Francos Rodríguez (línea 7).  Bus: 64, 44.;Titulaciones   Grado de Maestro en Educación Primaria. Grado de Maestro en Educación Infantil. Grado en Educación Social. Grado en Pedagogía. Menciones Educación Primaria.   Másteres y postgrados.;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cff8ae10c471c010VgnVCM1000000b205a0aRCRD;MARÍA AUXILIADORA;CALLE;V;9;;;;;MADRID;MADRID;28040;3;CIUDAD UNIVERSITARIA;9;MONCLOA-ARAVACA;439342;4478816;40.457.789.320.837.200;-3.715.425.578.651.150;914 500 472;;;/contenido/entidadesYorganismos/Universidades/OtrosCentrosUniversitarios; ;
7029862;Centro de Enseñanza Superior Villanueva;;;;Metro: Paco de Lucía (línea 9).  Bus: 178.  Cercanías Renfe: Mirasierra-Paco de Lucía (líneas C3, C7, C8 y Regional).;Titulaciones:   Administración y Dirección de Empresas. Derecho. Marketing. Periodismo. Publicidad y RR.PP. Comunicación Audiovisual. Psicología. Educación Infantil. Educación Primaria.  Másteres y postgrados.;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d4d1e0ecb9eaf310VgnVCM1000000b205a0aRCRD;COSTA BRAVA;CALLE;V;2;;;;y 6;MADRID;MADRID;28034;7;MIRASIERRA;8;FUENCARRAL-EL PARDO;440508;4483040;4.049.594.165.711.770;-3.702.048.289.834.190;917 340 413;;;/contenido/entidadesYorganismos/Universidades/OtrosCentrosUniversitarios; ;
6696;Centro Superior de Diseño y Moda de Madrid;Centro adscrito a la Universidad Politécnica de Madrid;;;Metro: Sierra de Guadalupe (línea 1)  Bus: E   Renfe: Vallecas  (C7, C2);Grado en Diseño de Moda;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=16c17b503a71c010VgnVCM1000000b205a0aRCRD;VALENCIA;CARRETERA;T;7;;;;Bloque I;MADRID;MADRID;28030;5;FONTARRON;14;MORATALAZ;444288;4473008;4.040.582.313.350.450;-36.565.743.766.748.800;913 310 126;;informacion.csdmm@upm.es;/contenido/entidadesYorganismos/Universidades/OtrosCentrosUniversitarios; ;
6383;Centro Superior de Estudios Universitarios La Salle;;;Estudios:   Educación y Social   Grados Universitarios en Educación. Grados Universitarios en CC Sociales. Grados Universitarios en Transmedia. Posgrados. Ciclos Formativos.   Salud   Grados Universitarios en Ciencias de la Salud. Másters Oficiales. Posgrados. Ciclos Formativos.   Religión   Grados Universitarios en Ciencias Religiosas. Posgrados.;Bus: 161.;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5289ae10c471c010VgnVCM1000000b205a0aRCRD;LA SALLE;CALLE;V;10;;;;;MADRID;MADRID;28023;5;VALDEMARIN;9;MONCLOA-ARAVACA;433704;4479806;4.046.627.682.124.750;-37.820.191.806.815.100;917 401 980;913 571 730;;/contenido/entidadesYorganismos/Universidades/EscuelasUniversitarias; ;
6533;Colegio Mayor África;;;Tipo mixta.;Metro: Vicente Aleixandre (línea 6).  Bus: 132, F.;;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=938b79262ef5d010VgnVCM1000000b205a0aRCRD;RAMIRO DE MAEZTU;CALLE;V;8;;;;;MADRID;MADRID;28040;3;CIUDAD UNIVERSITARIA;9;MONCLOA-ARAVACA;439191;4477869;4.044.924.734.199.120;-3.717.115.673.509.430;915 540 104;;info.africa@eoi.es;/contenido/entidadesYorganismos/Universidades/ColegiosMayores; ;
10297377;Colegio Mayor Alcalá;;;Tipo masculina.;Metro: Vicente Aleixandre (línea 6).  Bus: F, 132, C2, C1.;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=93179fc26c5fa510VgnVCM2000001f4a900aRCRD;DON RAMON MENENDEZ PIDAL;CALLE;V;2;;;;;MADRID;MADRID;28040;3;CIUDAD UNIVERSITARIA;9;MONCLOA-ARAVACA;438986;4477692;4.044.764.691.689.500;-37.195.043.010.881.800;915 533 004;915 549 548;info@cmalcala.es;/contenido/entidadesYorganismos/Universidades/ColegiosMayores; ;
10297407;Colegio Mayor Alcor;;;Tipo femenina.;Metro: Vicente Aleixandre (línea 6), Guzmán el Bueno (línea 6 y 7).  Bus: 2, 44.  Bicimad: Estación 203 (calle General Ampudia, 2).;;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0b19849d706fa510VgnVCM2000001f4a900aRCRD;GENERAL AMPUDIA;CALLE;V;7;;;;;MADRID;MADRID;28003;6;VALLEHERMOSO;7;CHAMBERI;439342;4477200;4.044.324.083.439.390;-37.152.595.164.598.500;915 339 208;;info@cmalcor.com;/contenido/entidadesYorganismos/Universidades/ColegiosMayores; ;
6507;Colegio Mayor Antonio de Nebrija;;;Tipo mixta.;Bus: U.;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=77453b54d771c010VgnVCM1000000b205a0aRCRD;SENECA;AVENIDA;V;8;;;;;MADRID;MADRID;28040;3;CIUDAD UNIVERSITARIA;9;MONCLOA-ARAVACA;438198;4476436;4.043.627.417.989.220;-3.728.673.853.584.000;913 941 005;;direccion_nebrija@rect.ucm.es / dnebri@net.ucm.es;/contenido/entidadesYorganismos/Universidades/ColegiosMayores; ;
6548;Colegio Mayor Aquinas (Santo Tomás de Aquino);;;Tipo masculina.;Bus: 132.;;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b3e73b54d771c010VgnVCM1000000b205a0aRCRD;LEONARDO PRIETO CASTRO;CALLE;V;6;;;;;MADRID;MADRID;28040;3;CIUDAD UNIVERSITARIA;9;MONCLOA-ARAVACA;438791;4478182;4.045.204.669.033.710;-37.218.508.847.849.600;915 438 800;;;/contenido/entidadesYorganismos/Universidades/ColegiosMayores; ;
